Jobtitle,Female Avg Hrly Rate,No. Female Empl,Average of Female MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Male Avg Hrly Rate,No. Male Empl,Average of Male MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Total Avg Hrly Rate,Total No. Empl,Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Ratio of women's hourly rate to men's hourly rate - percentage,Notes
"Civil Engr,Sr",49.61,31,75.65,50.2,60,87.55,50,91,83.49,98.83%,
Civil Engrng Spec Supv,45.51,6,56.17,45.51,11,49.64,45.51,17,51.94,100%,
"Civil Engrng Spec,Assoc",38.06,28,94.68,38.06,56,80.84,38.06,84,85.45,100.02%,
"Civil Engrng Spec,Asst I",29.41,2,48.5,28.33,5,9.6,28.64,7,20.71,103.8%,
"Civil Engrng Spec,Asst II",29.05,1,8,31.34,7,60.29,31.05,8,53.75,92.71%,
"Civil Engrng Spec,Asst III",34.91,10,57.1,34.73,16,57.94,34.8,26,57.62,100.52%,
"Civil Engrng Spec,Sr",43.08,20,63,42.85,53,74.36,42.91,73,71.25,100.53%,
Civil Rights Anlyst,31.19,4,20.75,33.56,1,78,31.67,5,32.2,92.95%,
"Civil Rights Anlyst,Sr",36.3,2,51,36.33,1,49,36.31,3,50.33,99.92%,
Civil Svc Commissioner,5.53,1,4,5.53,5,62,5.53,6,52.33,100%,
Claims Adjuster I,31.76,1,153,,,,31.76,1,153,,no men in title
Claims Adjuster-FAS,36.3,1,12,40.74,2,68.5,39.26,3,49.67,89.1%,
Code Compliance Anlyst,37.7,2,39.5,,,,37.7,2,39.5,,no men in title
Code Compliance Coord,43.1,1,67,,,,43.1,1,67,,no men in title
"Code Dev Anlyst,Sr",40.74,1,31,,,,40.74,1,31,,no men in title
Com Dev Spec,35.21,6,60.33,36.3,2,91,35.49,8,68,97.01%,
"Com Dev Spec,Sr",42.47,5,74.8,43.1,3,93.67,42.71,8,81.88,98.54%,
Com Garden Coord,32.39,5,98,32.39,1,143,32.39,6,105.5,100%,
Commercial Veh Enf Ofcr,,,,30.24,1,335,30.24,1,335,,no women in title
Comms Elctn CC,,,,47.15,1,160,47.15,1,160,,no women in title
Comms Elctn II,,,,41.91,14,207.43,41.91,14,207.43,,no women in title
Comms Elctn Jnywrk-In Chg-Skt,,,,44.15,1,49,44.15,1,49,,no women in title
Complaint Investigator,31.76,3,74.67,31.76,2,93.5,31.76,5,82.2,100%,
Constr&Maint Equip Op,30.49,1,228,30.49,26,133.5,30.49,27,137,100%,
"Constr&Maint Equip Op,Sr",32.01,1,140,32.01,19,61.63,32.01,20,65.55,100%,
Constr&Repair CC,,,,33.38,3,161,33.38,3,161,,no women in title
Contract Anlyst,31.18,3,15,,,,31.18,3,15,,no men in title
Contract Employee *,45.96,2,37.5,61.42,1,25,51.11,3,33.33,74.82%,
Contracts&Concss Asst,,,,29.99,1,111,29.99,1,111,,no women in title
Contrl Tech,,,,33.09,1,6,33.09,1,6,,no women in title
Cook,,,,25.04,1,33,25.04,1,33,,no women in title
Council Clerk,31.76,2,39,,,,31.76,2,39,,no men in title
Councilmember,57.07,3,79.67,56.88,6,108,56.94,9,98.56,100.34%,
Counslr,29.4,80,66.65,30.39,14,105.07,29.55,94,72.37,96.74%,
Court Cashier,24.66,7,96.14,24.55,5,134.6,24.62,12,112.17,100.43%,
Court Cashier Supv,27.04,1,107,27.04,1,178,27.04,2,142.5,100%,
Court Clerk,25.04,20,91.45,25.32,1,98,25.06,21,91.76,98.91%,
Court Clerk Supv,26.8,3,28,,,,26.8,3,28,,no men in title
Court Interpreter Coord,39.2,1,70,,,,39.2,1,70,,no men in title
Credit Rep,28.83,3,160.67,28.58,4,95.25,28.69,7,123.29,100.88%,
"Credit Rep,Sr",,,,31.41,2,124.5,31.41,2,124.5,,no women in title
Credit&Colls Supv-BU,36.3,1,180,36.3,1,89,36.3,2,134.5,100%,
Crime Prev Coord,33.69,1,268,33.69,3,249.67,33.69,4,254.25,100%,
Cust Svc Rep,24.21,34,68.79,24.32,8,67.38,24.23,42,68.52,99.54%,
Cust Svc Rep Supv,30.35,1,72,30.35,1,98,30.35,2,85,100%,
"Cust Svc Rep,Sr",26.18,5,40.8,,,,26.18,5,40.8,,no men in title
Delivery Wkr,21.36,2,55,21.36,3,90,21.36,5,76,100%,
Dev Fin Spec I,33.09,2,130,,,,33.09,2,130,,no men in title
"Dev Fin Spec,Sr",37.74,2,4.5,,,,37.74,2,4.5,,no men in title
Dining Room Attendant,15.66,2,55.5,14.8,1,9,15.37,3,40,105.81%,
"Dining Room Attendant,Sr",,,,18.11,1,97,18.11,1,97,,no women in title
Disposal CC I,33.93,2,74,33.93,2,80,33.93,4,77,100%,
Dispute Resolution Mediator,38.48,1,96,,,,38.48,1,96,,no men in title
Drainage&Wstwtr Coll CC,36.72,2,58.5,36.72,9,67,36.72,11,65.45,100%,
Drainage&Wstwtr Coll Lead Wkr,,,,30.7,11,101.27,30.7,11,101.27,,no women in title
Drainage&Wstwtr Coll Wkr,27.56,2,39,27.42,15,86.53,27.44,17,80.94,100.5%,
Drainage&Wstwtr Coll Wkr Aprn,23.98,3,11,23.92,10,11,23.94,13,11,100.23%,
Drainage&Wstwtr Coll Wkr CI,28.09,4,38.25,28.09,15,60,28.09,19,55.42,100%,
Drainage&Wstwtr Lead Wkr CII,29.81,2,7.5,31.31,26,51.58,31.2,28,48.43,95.2%,
Drainage&Wstwtr Spec,38.44,1,118,,,,38.44,1,118,,no men in title
Early Ed Spec,33.89,6,54.5,34.32,1,59,33.95,7,55.14,98.76%,
"Early Ed Spec,Sr",36.28,2,42.5,,,,36.28,2,42.5,,no men in title
Economist,34.32,1,5,35.66,2,13.5,35.21,3,10.67,96.26%,
"Economist,Prin",47.26,1,28,47.26,3,55.67,47.26,4,48.75,100%,
"Economist,Sr",44.28,7,96.57,43.14,2,44.5,44.03,9,85,102.64%,
Ed Prgm Asst,22.56,4,75,,,,22.56,4,75,,no men in title
Ed Prgm Supv,35.57,2,95.5,,,,35.57,2,95.5,,no men in title
Elctn,36.25,2,94,36.08,16,98.5,36.09,18,98,100.49%,
Elctn CC,40.13,3,114,,,,40.13,3,114,,no men in title
"Elctn,Sr",,,,37.51,1,9,37.51,1,9,,no women in title
Elctn-Con,41.14,6,119,41.14,59,75.2,41.14,65,79.25,100%,
Elctn-Con Aprn,,,,31.84,5,14.8,31.84,5,14.8,,no women in title
Elctn-Con CC,,,,46.28,1,38,46.28,1,38,,no women in title
Elctn-Con-(OI),41.14,4,139,41.14,8,201.5,41.14,12,180.67,100%,
Elctn-Con-Wkg CC,46.28,2,24.5,46.28,11,109.18,46.28,13,96.15,100%,
"Elec Engrng Des Spec,Asst II",,,,34.6,1,40,34.6,1,40,,no women in title
"Elec Engrng Des Spec,Asst III",,,,35.99,2,50.5,35.99,2,50.5,,no women in title
Elec-Con CC-Asg Crew Coord,,,,46.28,1,62,46.28,1,62,,no women in title
Elec-Con Core CC,,,,46.28,2,42.5,46.28,2,42.5,,no women in title
Elec-Con(OI)Wkg CC-C Coord,46.28,1,126,46.28,1,18,46.28,2,72,100%,
Elec-Con-Wkg CC-Asg C Coord,,,,46.28,3,30.33,46.28,3,30.33,,no women in title
Elecl Constr&Maint Supv-BU,55.04,3,65,54.85,11,55.82,54.89,14,57.79,100.34%,
"Elecl Engr,Assoc",39.36,5,51.2,39.05,19,44.42,39.12,24,45.83,100.79%,
"Elecl Engr,Asst I",30.85,2,47,29.95,9,33.89,30.11,11,36.27,103%,
"Elecl Engr,Asst II",,,,33.74,6,35.67,33.74,6,35.67,,no women in title
"Elecl Engr,Asst III",,,,36.69,4,144.5,36.69,4,144.5,,no women in title
"Elecl Engr,Sr",50.69,1,120,50.69,1,140,50.69,2,130,100%,
Elecl Engrng Spec Supv,44.41,3,51.33,45.51,2,21.5,44.85,5,39.4,97.58%,
"Elecl Engrng Spec,Assoc",37.12,7,37,37.52,4,59.75,37.27,11,45.27,98.93%,
"Elecl Engrng Spec,Asst I",29.05,2,87.5,27.52,2,9,28.29,4,48.25,105.56%,
"Elecl Engrng Spec,Asst II",30.74,2,10.5,,,,30.74,2,10.5,,no men in title
"Elecl Engrng Spec,Asst III",34.64,4,54,,,,34.64,4,54,,no men in title
"Elecl Engrng Spec,Sr",42.85,5,46.6,43.08,16,47.69,43.03,21,47.43,99.46%,
Elecl Hlpr,,,,29.11,5,145.4,29.11,5,145.4,,no women in title
Elecl Hlpr-Bndry,,,,29.11,1,272,29.11,1,272,,no women in title
Elecl Inspector Supv,,,,45.58,2,20,45.58,2,20,,no women in title
"Elecl Inspector,(J)",38.37,1,9,38.37,2,9.5,38.37,3,9.33,100%,
"Elecl Inspector,Sr(Expert)",43.06,2,63,43.06,13,114.62,43.06,15,107.73,100%,
Elecl Plans Examiner,,,,40.42,3,48,40.42,3,48,,no women in title
Elecl Pwr Systs Engr,51.93,6,54.17,51.4,15,40.93,51.55,21,44.71,101.03%,
"Elecl Pwr Systs Engr,Prin",54.42,4,17.5,55.22,11,23,55,15,21.53,98.55%,
"Elecl PwrSystsEngr,Prin-Mrt",60.11,1,37,58.25,10,35.6,58.42,11,35.73,103.2%,
Elecl PwrSystsEngr-Mrt,55.08,1,9,55.08,2,25.5,55.08,3,20,100%,
Elecl Quality Assurance Spec,,,,37.38,1,19,37.38,1,19,,no women in title
Elecl Svc Engr,45.25,1,72,44.27,5,80.4,44.44,6,79,102.21%,
Elecl Svc Rep,31.79,6,80.67,32.31,7,58.29,32.07,13,68.62,98.41%,
"Elecl Svc Rep,Sr",35.37,4,64.25,34.71,13,73.62,34.87,17,71.41,101.92%,
"Elecl Svc Rep,Supvsng",39.95,3,64.33,39.95,4,87.75,39.95,7,77.71,100%,
Elecl Work Rev CC,,,,46.28,4,61.5,46.28,4,61.5,,no women in title
Electric Util Exec 2,,,,77.8,3,21,77.8,3,21,,no women in title
"Electric Util Exec 3,Dir",86.34,1,64,86.81,6,35.67,86.75,7,39.71,99.45%,
"Electric Util Exec 3,Ofcr",,,,107.39,2,24.5,107.39,2,24.5,,no women in title
Elevator Inspector(J),,,,37.73,3,29,37.73,3,29,,no women in title
"Elevator Inspector,Chief",,,,43.92,2,27,43.92,2,27,,no women in title
"Elevator Inspector,Sr(Expert)",40.74,1,72,40.74,6,46.67,40.74,7,50.29,100%,
Engrng Aide,24.69,5,61,25.99,6,68.5,25.4,11,65.09,95.01%,
Engrng Emerg Laborer,,,,28.77,5,73,28.77,5,73,,no women in title
Enrgy Mgmt Anlyst,41.39,1,22,41.42,4,36.25,41.41,5,33.4,99.93%,
Enrgy Mgmt Anlyst Supv,49.56,2,85.5,49.56,2,139,49.56,4,112.25,100%,
"Enrgy Mgmt Anlyst,Asst",35.57,3,28,36.59,5,73.8,36.21,8,56.63,97.21%,
"Enrgy Mgmt Anlyst,Sr",45.96,4,26.25,45.96,14,50.43,45.96,18,45.06,100%,
Enrgy Plng Anlyst,33.69,1,5,33.67,2,10,33.67,3,8.33,100.07%,
Enrgy Plng Supv-BU,,,,49.56,2,110,49.56,2,110,,no women in title
Enrgy Res&Eval Anlyst,,,,39.96,1,260,39.96,1,260,,no women in title
"Envrnmtl Anlyst,Assoc",35.05,2,42,35.93,3,55.33,35.58,5,50,97.54%,
"Envrnmtl Anlyst,Sr",42.85,19,108.74,42.63,13,63.85,42.76,32,90.5,100.52%,
Envrnmtl Fld Spec,31.74,4,110.5,31.74,2,91.5,31.74,6,104.17,100%,
"Envrnmtl Fld Spec,Sr",,,,34.27,2,72,34.27,2,72,,no women in title
Equal Emplmnt Coord,37.75,2,27,,,,37.75,2,27,,no men in title
Equip Maint CC,,,,34.92,2,162,34.92,2,162,,no women in title
Equip Svcr,,,,24.28,13,114.85,24.28,13,114.85,,no women in title
Equip&Facilities Coord,,,,34.04,7,84,34.04,7,84,,no women in title
"Equip&Facils Coord,Sr",,,,37.7,1,175,37.7,1,175,,no women in title
Events Booking Rep,29.99,1,24,27.78,1,10,28.88,2,17,107.96%,
"Events Booking Rep,Sr",36.3,1,110,31.16,1,3,33.73,2,56.5,116.5%,
Events Svc Rep,32.39,3,93,,,,32.39,3,93,,no men in title
"Events Svc Rep,Sr",36.3,3,115.67,36.3,2,85,36.3,5,103.4,100%,
Evidence Warehouser,23.8,3,39.67,25.03,2,142,24.29,5,80.6,95.1%,
"Evidence Warehouser,Sr",27.54,2,105.5,27.54,4,52,27.54,6,69.83,100%,
Exec Asst,41.56,14,66.43,43.1,2,67,41.75,16,66.5,96.42%,
"Exec Asst,Sr",44.03,9,67,43.14,2,48.5,43.87,11,63.64,102.05%,
Exec Manager-City Auditor,,,,65.26,1,41,65.26,1,41,,no women in title
Exec Manager-Legislative,63.87,1,34,64.7,1,85,64.28,2,59.5,98.71%,
Executive1,57.91,4,33.75,56.59,6,40.67,57.11,10,37.9,102.33%,
Executive2,63.18,45,58.51,63.94,44,57.75,63.55,89,58.13,98.82%,
Executive3,73.05,15,68.4,70.83,18,33.17,71.84,33,49.18,103.13%,
Executive4,72.13,2,18,87.78,15,55.93,85.94,17,51.47,82.18%,
Exhibits Tech,,,,28.03,1,53,28.03,1,53,,no women in title
Facilities Lead Wkr,26.5,1,119,26.5,5,80.8,26.5,6,87.17,100%,
Facilities Maint Wkr,26.5,1,103,26.34,6,133.83,26.36,7,129.43,100.61%,
Facilities Support Coord,,,,39.2,1,54,39.2,1,54,,no women in title
"Facility Maint Supv,Asst",,,,42.34,3,71,42.34,3,71,,no women in title
Facility Techl Supv,,,,35.62,2,16,35.62,2,16,,no women in title
Facility Techl Supv-BU,,,,36.3,1,17,36.3,1,17,,no women in title
Fair Hearing Coord,,,,33.6,1,55,33.6,1,55,,no women in title
Fin Anlyst,33.98,10,36.9,,,,33.98,10,36.9,,no men in title
Fin Anlyst Supv,,,,41.55,1,0,41.55,1,0,,no women in title
"Fin Anlyst,Asst",27.48,3,100.67,28.84,1,12,27.82,4,78.5,95.3%,
"Fin Anlyst,Sr",39.66,20,75.35,39.09,17,41.59,39.4,37,59.84,101.46%,
Fire Battalion Chief-80 Hrs,,,,65.85,1,10,65.85,1,10,,no women in title
Fire Battalion Chief-91.4 Hrs,59.25,1,30,57.8,22,73.36,57.86,23,71.48,102.51%,
Fire Capt-80 Hrs,,,,56.09,1,4,56.09,1,4,,no women in title
Fire Capt-91.40 Hrs,48.11,4,20,47.77,32,31.28,47.81,36,30.03,100.71%,
Fire Capt-Admin-80 Hrs,57.39,1,26,57.39,2,13,57.39,3,17.33,100%,
Fire Capt-Dispatcher-80 Hrs,,,,58.14,1,10,58.14,1,10,,no women in title
Fire Capt-HM-91.40 Hrs,,,,49.2,3,33.67,49.2,3,33.67,,no women in title
Fire Capt-MU-91.40 Hrs,,,,50.07,2,52,50.07,2,52,,no women in title
Fire Capt-ParamedTechSrEMS-80,,,,64.29,1,39,64.29,1,39,,no women in title
Fire Capt-Prev Inspector I,,,,57.64,3,18,57.64,3,18,,no women in title
Fire Capt-Trng Div-80 Hrs,,,,56.77,3,13.33,56.77,3,13.33,,no women in title
Fire Capt-TRT-91.40 Hrs,,,,49.42,1,52,49.42,1,52,,no women in title
"Fire Chief,Dep-80 Hrs",,,,75.26,5,29,75.26,5,29,,no women in title
"Fire Chief,Dep-91.4 Hrs",,,,66.42,4,14,66.42,4,14,,no women in title
Fire Equip Tech,27.25,1,21,27.25,2,134.5,27.25,3,96.67,100%,
Fire Lieut-80 Hrs,,,,48.48,5,7,48.48,5,7,,no women in title
Fire Lieut-91.40 Hrs,42.42,11,41.73,41.87,93,36.98,41.93,104,37.48,101.31%,
Fire Lieut-Admin-80 Hrs,,,,49.3,2,10,49.3,2,10,,no women in title
Fire Lieut-Dispatcher-84 Hrs,,,,49.62,4,162.75,49.62,4,162.75,,no women in title
Fire Lieut-HM-91.40 Hrs,43.81,1,3,43.85,8,46.13,43.85,9,41.33,99.9%,
Fire Lieut-MU-91.40 Hrs,,,,43.48,9,35,43.48,9,35,,no women in title
Fire Lieut-ParamedTechSr-84,,,,52.63,4,79.5,52.63,4,79.5,,no women in title
Fire Lieut-ParamedTechSrAMR-80,,,,57.12,1,21,57.12,1,21,,no women in title
Fire Lieut-ParamedTechSrEMS-80,,,,56.38,1,6,56.38,1,6,,no women in title
Fire Lieut-Prev Inspector I,52.09,2,196,51.4,7,112.86,51.55,9,131.33,101.35%,
Fire Lieut-Trng Div-80 Hrs,,,,49.42,6,10,49.42,6,10,,no women in title
Fire Lieut-TRT-91.40 Hrs,,,,43.81,3,52,43.81,3,52,,no women in title
Fire Protection Engr,,,,40.06,4,92.75,40.06,4,92.75,,no women in title
"Fire Protection Engr,Sr",,,,47.26,2,111,47.26,2,111,,no women in title
Fire Svcs Spec,,,,27.25,1,266,27.25,1,266,,no women in title
Fireboat Engr-91.40 Hrs,,,,48.44,4,52,48.44,4,52,,no women in title
Fireboat Pilot-91.40 Hrs,,,,47.49,4,29.25,47.49,4,29.25,,no women in title
Fireftr-80 Hrs,,,,40.93,2,12,40.93,2,12,,no women in title
Fireftr-91.40 Hrs,35.68,17,35.12,34.36,307,39.25,34.43,324,39.03,103.84%,
Fireftr-Ap Drvr-80 Hrs,,,,45.58,2,11.5,45.58,2,11.5,,no women in title
Fireftr-AP Drvr-91.40 Hrs,38.11,10,47.6,38.41,158,37.3,38.39,168,37.92,99.22%,
Fireftr-Dispatcher-84 Hrs,43.58,14,138.57,43.16,9,109.89,43.42,23,127.35,100.98%,
Fireftr-FIU Prev Insp I-84 Hrs,,,,43.72,7,99.29,43.72,7,99.29,,no women in title
Fireftr-HM Ap Drvr-80 Hrs,,,,45.58,1,5,45.58,1,5,,no women in title
Fireftr-HM Ap Drvr-91.40 Hrs,,,,41,16,41,41,16,41,,no women in title
